Normalni: administrator             Moski average: 0.9060    Zenski average: 0.9105     Razlika: -0.0045
Mešani: administrator             Moski average: 0.9092    Zenski average: 0.8821     Razlika: 0.0271
Skupno: administrator             Moski average: 0.9076    Zenski average: 0.9098     Razlika: -0.0023
Normalni: agronom                   Moski average: 0.9114    Zenski average: 0.9268     Razlika: -0.0154
Mešani: agronom                   Moski average: 0.9108    Zenski average: 0.9110     Razlika: -0.0002
Skupno: agronom                   Moski average: 0.9111    Zenski average: 0.9188     Razlika: -0.0077
Normalni: akrobat                   Moski average: 0.8851    Zenski average: 0.9279     Razlika: -0.0428
Mešani: akrobat                   Moski average: 0.8768    Zenski average: 0.9106     Razlika: -0.0339
Skupno: akrobat                   Moski average: 0.8809    Zenski average: 0.9023     Razlika: -0.0214
Normalni: akviziter                 Moski average: 0.9323    Zenski average: 0.9440     Razlika: -0.0117
Mešani: akviziter                 Moski average: 0.9235    Zenski average: 0.9328     Razlika: -0.0093
Skupno: akviziter                 Moski average: 0.9279    Zenski average: 0.9337     Razlika: -0.0058
Normalni: antropolog                Moski average: 0.8964    Zenski average: 0.9079     Razlika: -0.0115
Mešani: antropolog                Moski average: 0.8692    Zenski average: 0.8693     Razlika: -0.0000
Skupno: antropolog                Moski average: 0.8828    Zenski average: 0.8886     Razlika: -0.0058
Normalni: aranžer                   Moski average: 0.8951    Zenski average: 0.8854     Razlika: 0.0097
Mešani: aranžer                   Moski average: 0.8855    Zenski average: 0.8661     Razlika: 0.0194
Skupno: aranžer                   Moski average: 0.8903    Zenski average: 0.8854     Razlika: 0.0049
Normalni: arheolog                  Moski average: 0.8751    Zenski average: 0.8748     Razlika: 0.0003
Mešani: arheolog                  Moski average: 0.8519    Zenski average: 0.8333     Razlika: 0.0186
Skupno: arheolog                  Moski average: 0.8635    Zenski average: 0.8634     Razlika: 0.0002
Normalni: arhitekt                  Moski average: 0.8761    Zenski average: 0.9116     Razlika: -0.0355
Mešani: arhitekt                  Moski average: 0.8569    Zenski average: 0.8722     Razlika: -0.0153
Skupno: arhitekt                  Moski average: 0.8665    Zenski average: 0.8843     Razlika: -0.0177
Normalni: arhivar                   Moski average: 0.9034    Zenski average: 0.9265     Razlika: -0.0231
Mešani: arhivar                   Moski average: 0.8972    Zenski average: 0.9037     Razlika: -0.0064
Skupno: arhivar                   Moski average: 0.9003    Zenski average: 0.9119     Razlika: -0.0116
Normalni: artist                    Moski average: 0.8819    Zenski average: 0.8781     Razlika: 0.0038
Mešani: artist                    Moski average: 0.8835    Zenski average: 0.8562     Razlika: 0.0273
Skupno: artist                    Moski average: 0.8827    Zenski average: 0.8808     Razlika: 0.0019
Normalni: astrolog                  Moski average: 0.9002    Zenski average: 0.9150     Razlika: -0.0148
Mešani: astrolog                  Moski average: 0.8776    Zenski average: 0.8828     Razlika: -0.0052
Skupno: astrolog                  Moski average: 0.8889    Zenski average: 0.8963     Razlika: -0.0074
Normalni: astronom                  Moski average: 0.8971    Zenski average: 0.9246     Razlika: -0.0275
Mešani: astronom                  Moski average: 0.8893    Zenski average: 0.9050     Razlika: -0.0156
Skupno: astronom                  Moski average: 0.8932    Zenski average: 0.9069     Razlika: -0.0138
Normalni: ataše                     Moski average: 0.9068    Zenski average: 0.9313     Razlika: -0.0246
Mešani: ataše                     Moski average: 0.9105    Zenski average: 0.9144     Razlika: -0.0039
Skupno: ataše                     Moski average: 0.9086    Zenski average: 0.9209     Razlika: -0.0123
Normalni: avtomehanik               Moski average: 0.9033    Zenski average: 0.9165     Razlika: -0.0132
Mešani: avtomehanik               Moski average: 0.8873    Zenski average: 0.8848     Razlika: 0.0026
Skupno: avtomehanik               Moski average: 0.8953    Zenski average: 0.9019     Razlika: -0.0066
Normalni: baletnik                  Moski average: 0.8811    Zenski average: 0.8975     Razlika: -0.0164
Mešani: baletnik                  Moski average: 0.8722    Zenski average: 0.8914     Razlika: -0.0191
Skupno: baletnik                  Moski average: 0.8767    Zenski average: 0.8848     Razlika: -0.0082
Normalni: bibliotekar               Moski average: 0.9105    Zenski average: 0.9282     Razlika: -0.0176
Mešani: bibliotekar               Moski average: 0.9112    Zenski average: 0.9180     Razlika: -0.0069
Skupno: bibliotekar               Moski average: 0.9108    Zenski average: 0.9197     Razlika: -0.0088
Normalni: bioenergetik              Moski average: 0.9291    Zenski average: 0.9231     Razlika: 0.0060
Mešani: bioenergetik              Moski average: 0.9190    Zenski average: 0.9117     Razlika: 0.0073
Skupno: bioenergetik              Moski average: 0.9241    Zenski average: 0.9210     Razlika: 0.0030
Normalni: biograf                   Moski average: 0.8727    Zenski average: 0.9002     Razlika: -0.0275
Mešani: biograf                   Moski average: 0.8574    Zenski average: 0.8725     Razlika: -0.0151
Skupno: biograf                   Moski average: 0.8650    Zenski average: 0.8788     Razlika: -0.0137
Normalni: biolog                    Moski average: 0.8804    Zenski average: 0.8902     Razlika: -0.0098
Mešani: biolog                    Moski average: 0.8725    Zenski average: 0.8673     Razlika: 0.0053
Skupno: biolog                    Moski average: 0.8764    Zenski average: 0.8813     Razlika: -0.0049
Normalni: blagajnik                 Moski average: 0.8857    Zenski average: 0.8928     Razlika: -0.0071
Mešani: blagajnik                 Moski average: 0.8712    Zenski average: 0.8558     Razlika: 0.0154
Skupno: blagajnik                 Moski average: 0.8785    Zenski average: 0.8820     Razlika: -0.0035
Normalni: botanik                   Moski average: 0.9312    Zenski average: 0.9301     Razlika: 0.0011
Mešani: botanik                   Moski average: 0.9259    Zenski average: 0.9059     Razlika: 0.0200
Skupno: botanik                   Moski average: 0.9286    Zenski average: 0.9280     Razlika: 0.0005
